prefix,number_of_sites,backing_prefix
2600:1480:5802::/48,3,2600:1480:5802::/48
2600:1480:5805::/48,2,2600:1480:5805::/48
2600:1480:6800::/48,13,2600:1480:6800::/48
2600:1480:7000::/48,7,2600:1480:7000::/48
2600:1480:7800::/48,7,2600:1480:7800::/48
2600:1480:9000::/48,7,2600:1480:9000::/48
2600:1480:9800::/48,7,2600:1480:9800::/48
2600:1480::/48,4,2600:1480::/48
2600:1480:b000::/48,4,2600:1480:b000::/48
2600:1480:b800::/48,6,2600:1480:b800::/48
2600:1480:d000::/48,9,2600:1480:d000::/48
2600:1480:d800::/48,11,2600:1480:d800::/48
2600:1480:e800::/48,3,2600:1480:e800::/48
2600:1480:f000::/48,9,2600:1480:f000::/48
2600:14c0:1::/48,18,2600:14c0:1::/48
2600:14c0:6::/48,18,2600:14c0:6::/48
2600:14c0:7::/48,18,2600:14c0:7::/48
2600:14c0:a::/48,18,2600:14c0:a::/48
2600:14c0:b::/48,19,2600:14c0:b::/48
2600:14c0:e::/48,3,2600:14c0:e::/48
2600:14c0:f::/48,2,2600:14c0:f::/48
2600:1800:10::/48,16,2600:1800:10::/48
2600:1800:15::/48,16,2600:1800:15::/48
2600:1800:5::/48,16,2600:1800:5::/48
2600:1800:8::/48,16,2600:1800:8::/48
2600:1800::/48,16,2600:1800::/48
2600:1801:11::/48,17,2600:1801:11::/48
2600:1801:13::/48,17,2600:1801:13::/48
2600:1801:1::/48,17,2600:1801:1::/48
2600:1801:3::/48,17,2600:1801:3::/48
2600:1801:6::/48,17,2600:1801:6::/48
2600:1802:12::/48,17,2600:1802:12::/48
2600:1802:14::/48,17,2600:1802:14::/48
2600:1802:2::/48,17,2600:1802:2::/48
2600:1802:4::/48,17,2600:1802:4::/48
2600:1802:7::/48,17,2600:1802:7::/48
2600:180a:1001::/48,16,2600:180a:1001::/48
2600:180a:4001::/48,16,2600:180a:4001::/48
2600:180b:2001::/48,17,2600:180b:2001::/48
2600:180b:5001::/48,17,2600:180b:5001::/48
2600:180c:3001::/48,17,2600:180c:3001::/48
2600:180c:6001::/48,17,2600:180c:6001::/48
2600:1901:1::/48,20,2600:1901::/32
2600:1901::/48,20,2600:1901::/32
2600:1901:c1::/48,24,2600:1901::/32
2600:3400:4::/48,5,2600:3400::/28
2600:3500:1d1e::/48,7,2600:3500:1d1e::/48
2600:3500:ffff::/48,10,2600:3500:ffff::/48
2600:6c7f:f000::/48,3,2600:6c7f:f000::/48
2600:9000:2077::/48,15,2600:9000:2077::/48
2600:9000:5300::/48,11,2600:9000:5300::/48
2600:9000:5301::/48,11,2600:9000:5301::/48
2600:9000:5302::/48,10,2600:9000:5302::/48
2600:9000:5303::/48,10,2600:9000:5303::/48
2600:9000:5304::/48,6,2600:9000:5304::/48
2600:9000:5305::/48,6,2600:9000:5305::/48
2600:9000:5306::/48,17,2600:9000:5306::/48
2600:9000:5307::/48,16,2600:9000:5307::/48
2600:9000:a400::/48,20,2600:9000:a400::/43
2600:9000:a402::/48,20,2600:9000:a400::/43
2600:9000:a403::/48,20,2600:9000:a400::/43
2600:9000:a407::/48,20,2600:9000:a400::/43
2600:9000:a408::/48,20,2600:9000:a400::/43
2600:9000:a40a::/48,20,2600:9000:a400::/43
2600:9000:a40b::/48,20,2600:9000:a400::/43
2600:9000:a40c::/48,20,2600:9000:a400::/43
2600:9000:a40d::/48,20,2600:9000:a400::/43
2600:9000:a40e::/48,20,2600:9000:a400::/43
2600:9000:a410::/48,20,2600:9000:a400::/43
2600:9000:a412::/48,20,2600:9000:a400::/43
2600:9000:a413::/48,20,2600:9000:a400::/43
2600:9000:a414::/48,20,2600:9000:a400::/43
2600:9000:a415::/48,20,2600:9000:a400::/43
2600:9000:a416::/48,20,2600:9000:a400::/43
2600:9000:a417::/48,20,2600:9000:a400::/43
2600:9000:a419::/48,20,2600:9000:a400::/43
2600:9000:a41a::/48,20,2600:9000:a400::/43
2600:9000:a41c::/48,21,2600:9000:a400::/43
2600:9000:a41e::/48,20,2600:9000:a400::/43
2600:9000:a501::/48,20,2600:9000:a500::/43
2600:9000:a503::/48,20,2600:9000:a500::/43
2600:9000:a504::/48,21,2600:9000:a500::/43
2600:9000:a505::/48,20,2600:9000:a500::/43
2600:9000:a506::/48,20,2600:9000:a500::/43
2600:9000:a508::/48,20,2600:9000:a500::/43
2600:9000:a509::/48,20,2600:9000:a500::/43
2600:9000:a50a::/48,20,2600:9000:a500::/43
2600:9000:a50d::/48,20,2600:9000:a500::/43
2600:9000:a50e::/48,20,2600:9000:a500::/43
2600:9000:a511::/48,20,2600:9000:a500::/43
2600:9000:a512::/48,20,2600:9000:a500::/43
2600:9000:a513::/48,20,2600:9000:a500::/43
2600:9000:a515::/48,20,2600:9000:a500::/43
2600:9000:a518::/48,20,2600:9000:a500::/43
2600:9000:a51b::/48,20,2600:9000:a500::/43
2600:9000:a51d::/48,19,2600:9000:a500::/43
2600:9000:a51f::/48,20,2600:9000:a500::/43
2600:9000:a600::/48,20,2600:9000:a600::/43
2600:9000:a601::/48,20,2600:9000:a600::/43
2600:9000:a602::/48,20,2600:9000:a600::/43
2600:9000:a604::/48,20,2600:9000:a600::/43
2600:9000:a605::/48,20,2600:9000:a600::/43
2600:9000:a606::/48,20,2600:9000:a600::/43
2600:9000:a607::/48,20,2600:9000:a600::/43
2600:9000:a608::/48,20,2600:9000:a600::/43
2600:9000:a60a::/48,20,2600:9000:a600::/43
2600:9000:a60c::/48,20,2600:9000:a600::/43
2600:9000:a60d::/48,20,2600:9000:a600::/43
2600:9000:a60f::/48,20,2600:9000:a600::/43
2600:9000:a613::/48,20,2600:9000:a600::/43
2600:9000:a614::/48,20,2600:9000:a600::/43
